bizonylat;datum;tipus;vrg_id;daniella_cikkszam;megnevezes_a_bizonylaton;mennyiseg;egyseg_kiszereles;netto_egysegar_huf;brutto_ertek_huf;hivatkozas;forras_fajl
14406/26VRD1;2026.09.08;modositas;VRG-0165;STI1501;Kötődoboz 100x100x70 sima falú IP65 Stilo (STI1501) /S-BOX helyett/;1,00 db;1 db;575,34;731;;FIGYELEM! A rendelés módosult! (9).eml
15229/26VRD1;2026.09.17;modositas;VRG-0095;NYUGMFL20;Gégecső toldó 20 MFL20 Inset;10,00 db;50 db;85,12;1081;;FIGYELEM! A rendelés módosult!.eml
15229/26VRD1;2026.09.17;modositas;VRG-0055;JPR2058;J.P.2058 ütőcsúcs 20;1,00 db;1 db;1047,14;1330;;FIGYELEM! A rendelés módosult!.eml
15229/26VRD1;2026.09.17;modositas;VRG-0053;JPR111356;J.P.111356 csatlakozó-kapocs;2,00 db;1 db;2379,64;6044;;FIGYELEM! A rendelés módosult!.eml
10825/26VRY;2026.09.16;visszaigazolas;VRG-0126;SCHEPH5800421;ASFORA fehér keret 4-es, vízszintes EPH5800421;1,00 db;1 db;1139,2;1447;;Rendelés visszaigazolás (Hefler Tamás) (1).eml
10825/26VRY;2026.09.16;visszaigazolas;VRG-0013;DUND1101;Műa. doboz 100x100mm fedél nélkül, sárga D-1101 Dunszt;1,00 db;100 db;240,16;305;;Rendelés visszaigazolás (Hefler Tamás) (1).eml
10825/26VRY;2026.09.16;visszaigazolas;VRG-0014;DUND1102;Műa. doboz fedő 100x100mm D-1102 (D1101 dobozhoz) Dunszt;2,00 db;50 db;139,84;355;;Rendelés visszaigazolás (Hefler Tamás) (1).eml
10825/26VRY;2026.09.16;visszaigazolas;VRG-0007;BUDT30305;Műa. doboz fedő 65mm, rugós Budvill;1,00 db;200 db;35,72;45;;Rendelés visszaigazolás (Hefler Tamás) (1).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0110;POL2080136;Fővezeték sorkapocs 2x 25/2x16mm2 szürke HLAK 25-1/2 M2, 2080136 Pollmann;1,00 db;1 db;927,11;1177;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0111;POL2080137;Fővezeték sorkapocs 2x 25/2x16mm2 kék HLAK 25-1/2 M2, 2080137 Pollmann;1,00 db;1 db;927,11;1177;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
13635/26VRD1;2026.08.25;visszaigazolas;VRG-0112;POL2080138;Fővezeték sorkapocs 2x 25/2x16mm2 z/s HLAK 25-1/2 M2, 2080138 Pollmann;1,00 db;1 db;927,11;1177;;Rendelés visszaigazolás (Hefler Tamás) (10).eml
