vrg_id;legacy_id;datum;bizonylat;vendor;netto_egysegar_huf;szamitott_brutto_huf;forras_tipus
VRG-0057;KAB1400014;2026.09.08;14408/26VRD1;daniella;339,3;431;modositas
VRG-0058;KAB1400016;2026.06.12;147898/26VR;daniella;764,4;971;visszaigazolas
VRG-0058;KAB1400016;2026.06.12;58530/26VA;daniella;764,4;971;pdf
VRG-0059;KAB1800011;2026.06.16;02744/26VR8;daniella;341,88;434;visszaigazolas
VRG-0059;KAB1800011;2026.08.24;13509/26VRD1;daniella;358,82;456;visszaigazolas
VRG-0059;KAB1800011;2026.08.24;13509/26VRD1;daniella;358,82;456;visszaigazolas
VRG-0060;KAB1800012;2026.06.12;147898/26VR;daniella;351,12;446;visszaigazolas
VRG-0060;KAB1800012;2026.06.12;58530/26VA;daniella;351,12;446;pdf
VRG-0061;KAN70941;2026.09.14;14910/26VRD1;daniella;9684,2;12299;visszaigazolas
VRG-0062;KANND12;2026.09.14;14910/26VRD1;daniella;1656,4;2104;visszaigazolas
VRG-0063;KIWA81004;2026.09.07;14408/26VRD1;daniella;32929,4;41820;pdf
VRG-0063;KIWA81004;2026.09.08;14408/26VRD1;daniella;32929,4;41820;modositas
VRG-0064;KIWA81027;2026.06.12;147898/26VR;daniella;34845,3;44254;visszaigazolas
VRG-0064;KIWA81027;2026.06.12;58530/26VA;daniella;34845,3;44254;pdf
VRG-0065;KOPKPL64502LDNA;2026.09.01;14129/26VRD1;daniella;876;1113;visszaigazolas
VRG-0066;KOPKPL64503LDNA;2026.06.12;147898/26VR;daniella;1073,8;1364;visszaigazolas
VRG-0066;KOPKPL64503LDNA;2026.06.12;58530/26VA;daniella;1073,8;1364;pdf
VRG-0066;KOPKPL64503LDNA;2026.06.16;02744/26VR8;daniella;1073,8;1364;visszaigazolas
VRG-0066;KOPKPL64503LDNA;2026.09.01;14129/26VRD1;daniella;1239;1574;visszaigazolas
VRG-0067;KOPKPL64505LDNA;2026.09.01;14129/26VRD1;daniella;1857,75;2359;visszaigazolas
VRG-0068;KOPKPL6450LDNA;2026.06.17;02762/26VR8;daniella;408,85;519;visszaigazolas
VRG-0069;KOPP356102005;2026.08.05;203724/26VR;daniella;756,13;960;visszaigazolas
VRG-0070;KOPPK90X55DHD;2026.06.12;58530/26VA;daniella;3186,75;4047;pdf
VRG-0071;LEG050316;2026.07.31;12218/26VRU;daniella;480,48;610;visszaigazolas
VRG-0072;LEG069742L;2026.06.12;147898/26VR;daniella;8221,98;10442;visszaigazolas
VRG-0072;LEG069742L;2026.06.12;58530/26VA;daniella;8221,98;10442;pdf
VRG-0073;LEG413102;2026.09.07;14408/26VRD1;daniella;2226,12;2827;pdf
VRG-0073;LEG413102;2026.09.08;14408/26VRD1;daniella;2226,12;2827;modositas
VRG-0074;LEG601983;2026.06.12;147898/26VR;daniella;34721,7;44097;visszaigazolas
VRG-0074;LEG601983;2026.06.12;58530/26VA;daniella;34721,7;44097;pdf
VRG-0075;LEG665001;2026.06.12;147898/26VR;daniella;223,86;284;visszaigazolas
VRG-0075;LEG665001;2026.06.12;58530/26VA;daniella;223,86;284;pdf
VRG-0075;LEG665001;2026.06.12;58530/26VA;daniella;223,86;284;pdf
VRG-0075;LEG665001;2026.06.12;58530/26VA;daniella;223,86;284;pdf
VRG-0076;LEG665003;2026.06.12;147898/26VR;daniella;748,02;950;visszaigazolas
VRG-0077;LEG752101;2026.09.07;14408/26VRD1;daniella;1790,1;2273;pdf
VRG-0077;LEG752101;2026.09.08;14408/26VRD1;daniella;1790,1;2273;modositas
VRG-0078;LEG752106;2026.09.07;14408/26VRD1;daniella;2329,08;2958;pdf
VRG-0078;LEG752106;2026.09.08;14408/26VRD1;daniella;2329,08;2958;modositas
VRG-0079;LEG752107;2026.09.07;14408/26VRD1;daniella;3582,54;4550;pdf
VRG-0079;LEG752107;2026.09.08;14408/26VRD1;daniella;3582,54;4550;modositas
VRG-0080;LEG753121;2026.09.07;14408/26VRD1;daniella;1790,1;2273;pdf
VRG-0080;LEG753121;2026.09.08;14408/26VRD1;daniella;1790,1;2273;modositas
VRG-0081;LEG753142;2026.09.07;14408/26VRD1;daniella;4891,38;6212;pdf
VRG-0081;LEG753142;2026.09.08;14408/26VRD1;daniella;4891,38;6212;modositas
VRG-0082;LEG754001;2026.09.07;14408/26VRD1;daniella;484,38;615;pdf
VRG-0082;LEG754001;2026.09.08;14408/26VRD1;daniella;484,38;615;modositas
VRG-0083;LEG754002;2026.09.07;14408/26VRD1;daniella;872,82;1108;pdf
VRG-0083;LEG754002;2026.09.08;14408/26VRD1;daniella;872,82;1108;modositas
VRG-0084;LEG754005;2026.09.07;14408/26VRD1;daniella;2911,74;3698;pdf
VRG-0084;LEG754005;2026.09.08;14408/26VRD1;daniella;2911,74;3698;modositas
VRG-0085;LEG754192;2026.07.16;11283/26VRD1;daniella;3297,06;4187;visszaigazolas
VRG-0086;LEG764500;2026.06.12;147898/26VR;daniella;674,7;857;visszaigazolas
VRG-0086;LEG764500;2026.06.12;58530/26VA;daniella;674,7;857;pdf
VRG-0087;LEG764506;2026.06.17;02762/26VR8;daniella;939,12;1193;visszaigazolas
VRG-0088;LEG764539;2026.06.12;147898/26VR;daniella;646,62;821;visszaigazolas
VRG-0088;LEG764539;2026.06.12;58530/26VA;daniella;646,62;821;pdf
VRG-0089;LEG782373;2026.06.12;147898/26VR;daniella;1526,46;1939;visszaigazolas
VRG-0089;LEG782373;2026.06.12;58530/26VA;daniella;1526,46;1939;pdf
VRG-0089;LEG782373;2026.09.07;14408/26VRD1;daniella;1526,46;1939;pdf
VRG-0089;LEG782373;2026.09.08;14408/26VRD1;daniella;1526,46;1939;modositas
VRG-0090;LEG782374;2026.06.12;147898/26VR;daniella;2804,88;3562;visszaigazolas
VRG-0090;LEG782374;2026.06.12;58530/26VA;daniella;2804,88;3562;pdf
VRG-0091;LEG782400;2026.07.24;07665/26VRB;daniella;715,26;908;visszaigazolas
VRG-0091;LEG782400;2026.07.29;12045/26VRU;daniella;715,26;908;visszaigazolas
VRG-0092;LEG782402;2026.07.29;12045/26VRU;daniella;980,46;1245;visszaigazolas
VRG-0093;LEG863193;2026.06.12;58530/26VA;daniella;804,18;1021;pdf
